Wave_1,Wave_2,Wave_3,Wave_4,Wave_5,Wave_6,Wave_7,Wave_8,Wave_9,Wave_10,Wave_11,Wave_12,Wave_13,Wave_14,Wave_15,Wave_16,Wave_17,Wave_18,Wave_19,Wave_20,Wave_21,Wave_22,Wave_23,Wave_24,Wave_25,Wave_26,Wave_27,Wave_28,Wave_29,Wave_30,Wave_31,Wave_32,Wave_33,Wave_34,Wave_35,Wave_36,Wave_37,Wave_38,Wave_39,Wave_40,Wave_41,Wave_42,Wave_43,Wave_44,Wave_45,Wave_46,Wave_47,Wave_48,Wave_49,Wave_50,proton_speed,proton_density,proton_temperature
43.82326,2.830912917,60.95933167,56.46368667,107.0750667,183.09915,332.32465,336.4547833,323.8333167,179.0736333,298.2874833,325.92775,369.31695,350.19355,349.5955333,302.0530167,371.2,303.3462167,367.5721667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.1783333,6.701166667,16466.48333
45.43323333,4.779309667,60.24677833,56.82069167,110.8802483,209.7366167,393.97865,392.2826333,334.5347167,180.4838,302.47195,328.9937333,369.9708167,348.5669167,348.2877333,303.09445,373.05625,309.1062833,366.7958636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.565,8.0565,15541.95
43.53116833,3.1027565,59.87072,55.869275,105.0027333,180.8852833,338.5122,331.6317,307.6288,169.6137833,297.5403667,325.9318,370.8765833,350.2712667,346.01145,299.0636833,368.9517833,299.1501167,365.1324286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.1066667,6.493,14967.46667
46.383945,10.4783435,62.79977167,52.63010333,97.46312667,172.1212667,350.4146167,391.7345667,365.8110167,205.27355,306.4006,336.2494333,375.06805,348.2451833,344.4345,300.4929833,376.1571167,305.6847333,364.9882586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.9216667,7.6815,16916.41667
44.56984167,6.0655444,65.04630333,66.15957833,126.0638217,209.5675167,356.85965,355.6882333,340.8461667,198.1536833,304.7282833,329.1089333,373.3243833,351.4812333,344.97095,298.61605,368.3072833,298.8293333,366.7645676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.4,7.859666667,18842.66667
41.95063333,0.960659667,59.68490333,64.946105,125.3094667,209.01025,339.2941667,306.4908167,294.60525,167.4944333,295.88795,318.96665,369.23475,352.0992,343.84855,295.6041833,361.1535,293.1231667,368.8016316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.8166667,6.832333333,17704.18333
41.92168833,0.68279605,59.758985,71.92308167,139.5505167,220.8357,331.9705,288.47085,288.3611333,167.8345167,296.5306167,318.5778667,368.4735667,351.5602667,343.5883,296.6621833,360.9250167,291.8990833,367.3129286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.8966667,6.719,18216.76667
42.39300667,0.7674602,60.68790333,79.24529333,163.6214,261.8969667,357.5826,274.2168667,272.0106667,164.3832333,296.9726,318.9722333,368.7673333,351.4595667,342.8734,297.1316333,362.2099667,292.3724333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.8321429,7.298928571,16750.60714
42.5917125,0.74192825,58.5346,62.848825,129.303125,236.1615,396.227375,347.872375,302.569,170.0381429,298.761,320.4997143,369.64,351.5757143,342.81025,296.637625,360.97225,295.448125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.5,7.982857143,15790.28571
42.01218667,3.0313967,67.29658,60.773685,111.8076917,223.5445833,464.9878,482.3600833,357.7482333,173.5589833,290.7572,319.9542,373.2412333,357.2462,348.1745333,293.1891,362.7964,304.5950667,378.738439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.1016667,9.901333333,13369.63333
43.063145,1.850144,63.424,70.648445,164.21548,333.5538167,537.1714667,456.0207167,321.9685,168.8569,294.2916167,320.2814167,369.3670333,350.8302333,344.0658833,296.5654667,365.9161167,304.8170339,380.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.46,11.652,13413.91667
